scene_id,infile,n_blocks,blocks_coords,frequency_hz,tx_pos,rx_pos,n_traces,mute_ns,merged_outfile,png_file,timestamp
scene_0081,scene_0081.in,5,"(4.235,0.355,4.381,0.454); (4.221,0.397,4.437,0.499); (4.139,0.392,4.339,0.591); (4.230,0.394,4.408,0.547); (4.041,0.436,4.240,0.579)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0081_merged.out,,2025-10-15 20:35:31
scene_0082,scene_0082.in,2,"(4.071,0.377,4.318,0.440); (4.017,0.351,4.095,0.438)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0082_merged.out,,2025-10-15 20:36:07
scene_0083,scene_0083.in,4,"(1.555,0.524,1.681,0.594); (1.471,0.453,1.586,0.631); (1.424,0.494,1.556,0.567); (1.491,0.558,1.646,0.726)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0083_merged.out,,2025-10-15 20:46:12
scene_0084,scene_0084.in,4,"(2.058,0.492,2.208,0.690); (2.090,0.686,2.251,0.801); (2.056,0.530,2.137,0.693); (2.022,0.628,2.108,0.688)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0084_merged.out,,2025-10-15 20:46:50
scene_0085,scene_0085.in,1,"(2.360,0.553,2.574,0.617)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0085_merged.out,,2025-10-15 20:56:57
scene_0086,scene_0086.in,1,"(2.974,0.487,3.024,0.597)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0086_merged.out,,2025-10-15 20:57:33
scene_0087,scene_0087.in,5,"(2.838,0.648,2.907,0.824); (2.777,0.635,2.843,0.795); (2.803,0.517,2.962,0.715); (2.647,0.464,2.884,0.657); (2.766,0.537,2.995,0.733)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0087_merged.out,,2025-10-15 21:07:59
scene_0088,scene_0088.in,1,"(2.978,0.426,3.166,0.553)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0088_merged.out,,2025-10-15 21:08:34
scene_0089,scene_0089.in,1,"(4.373,0.689,4.474,0.776)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0089_merged.out,,2025-10-15 21:18:38
scene_0090,scene_0090.in,4,"(3.649,0.513,3.870,0.639); (3.811,0.533,3.997,0.687); (3.604,0.592,3.834,0.652); (3.723,0.513,3.831,0.621)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0090_merged.out,,2025-10-15 21:19:13
scene_0091,scene_0091.in,1,"(1.118,0.643,1.218,0.797)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0091_merged.out,,2025-10-15 21:29:25
scene_0092,scene_0092.in,2,"(1.506,0.708,1.603,0.886); (1.527,0.843,1.674,0.907)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0092_merged.out,,2025-10-15 21:29:58
scene_0093,scene_0093.in,1,"(4.370,0.792,4.453,0.900)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0093_merged.out,,2025-10-15 21:40:22
scene_0094,scene_0094.in,2,"(2.744,0.434,2.962,0.512); (2.775,0.467,2.894,0.650)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0094_merged.out,,2025-10-15 21:40:55
scene_0095,scene_0095.in,1,"(3.168,0.520,3.239,0.682)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0095_merged.out,,2025-10-15 21:51:06
scene_0096,scene_0096.in,1,"(3.219,0.629,3.340,0.807)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0096_merged.out,,2025-10-15 21:51:38
scene_0097,scene_0097.in,2,"(2.292,0.463,2.440,0.617); (2.439,0.364,2.534,0.538)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0097_merged.out,,2025-10-15 22:02:04
