Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0010_v17,0010,17,8.5258,0.016920,85
simulation_4spheres_0010_v18,0010,18,8.8267,0.002398,85
simulation_4spheres_0010_v19,0010,19,8.0070,0.016080,85
simulation_4spheres_0010_v20,0010,20,7.9137,0.004834,85
simulation_4spheres_0010_v21,0010,21,4.8405,0.006667,85
simulation_4spheres_0010_v22,0010,22,7.5950,0.015627,85
simulation_4spheres_0010_v23,0010,23,5.3377,0.018216,85
simulation_4spheres_0010_v24,0010,24,4.5749,0.017057,85
simulation_4spheres_0010_v25,0010,25,7.3696,0.011050,85
simulation_4spheres_0010_v26,0010,26,6.0730,0.016698,85
simulation_4spheres_0010_v27,0010,27,5.6009,0.008799,85
simulation_4spheres_0010_v28,0010,28,7.2897,0.019279,85
simulation_4spheres_0010_v29,0010,29,4.9162,0.003626,85
simulation_4spheres_0010_v30,0010,30,4.6825,0.006605,85
simulation_4spheres_0010_v31,0010,31,6.2420,0.019700,85
simulation_4spheres_0010_v32,0010,32,5.7664,0.005294,85
simulation_4spheres_0010_v33,0010,33,5.0569,0.015747,85
simulation_4spheres_0010_v34,0010,34,8.2170,0.002425,85
simulation_4spheres_0010_v35,0010,35,8.7877,0.003960,85
simulation_4spheres_0010_v36,0010,36,5.1645,0.016048,85
simulation_4spheres_0010_v37,0010,37,8.4594,0.002007,85
simulation_4spheres_0010_v38,0010,38,8.6852,0.016702,85
simulation_4spheres_0010_v39,0010,39,7.6800,0.007248,85
simulation_4spheres_0010_v40,0010,40,3.3103,0.018213,85
simulation_4spheres_0010_v41,0010,41,7.6695,0.007927,85
simulation_4spheres_0010_v42,0010,42,4.4471,0.013733,85
simulation_4spheres_0010_v43,0010,43,3.2231,0.007569,85
simulation_4spheres_0010_v44,0010,44,5.3316,0.003365,85
simulation_4spheres_0010_v45,0010,45,7.7132,0.005701,85
simulation_4spheres_0010_v46,0010,46,6.2454,0.015838,85
simulation_4spheres_0010_v47,0010,47,6.6535,0.019622,85
simulation_4spheres_0010_v48,0010,48,6.7158,0.003132,85
simulation_4spheres_0010_v49,0010,49,4.4572,0.007102,85
simulation_4spheres_0011_v0,0011,0,6.0361,0.008223,85
simulation_4spheres_0011_v1,0011,1,4.0142,0.001205,85
simulation_4spheres_0011_v2,0011,2,6.5611,0.017296,85
simulation_4spheres_0011_v3,0011,3,7.8579,0.001812,85
simulation_4spheres_0011_v4,0011,4,6.6550,0.013622,85
simulation_4spheres_0011_v5,0011,5,6.2688,0.018932,85
simulation_4spheres_0011_v6,0011,6,4.1207,0.008482,85
simulation_4spheres_0011_v7,0011,7,6.1597,0.019934,85
simulation_4spheres_0011_v8,0011,8,4.8098,0.016107,85
simulation_4spheres_0011_v9,0011,9,3.9370,0.001943,85
simulation_4spheres_0011_v10,0011,10,7.8367,0.016269,85
simulation_4spheres_0011_v11,0011,11,4.2502,0.006968,85
simulation_4spheres_0011_v12,0011,12,4.3421,0.019514,85
simulation_4spheres_0011_v13,0011,13,6.6629,0.007754,85
simulation_4spheres_0011_v14,0011,14,5.1805,0.019982,85
simulation_4spheres_0011_v15,0011,15,3.1909,0.007014,85
simulation_4spheres_0011_v16,0011,16,3.4240,0.010700,85
simulation_4spheres_0011_v17,0011,17,3.5838,0.007428,85
simulation_4spheres_0011_v18,0011,18,4.4892,0.014714,85
simulation_4spheres_0011_v19,0011,19,3.3107,0.010983,85
simulation_4spheres_0011_v20,0011,20,7.8803,0.005494,85
simulation_4spheres_0011_v21,0011,21,7.2113,0.003429,85
simulation_4spheres_0011_v22,0011,22,8.3260,0.017064,85
simulation_4spheres_0011_v23,0011,23,7.1312,0.007964,85
simulation_4spheres_0011_v24,0011,24,8.9498,0.008896,85
simulation_4spheres_0011_v25,0011,25,5.7003,0.016504,85
simulation_4spheres_0011_v26,0011,26,4.6639,0.001335,85
simulation_4spheres_0011_v27,0011,27,6.2358,0.013989,85
simulation_4spheres_0011_v28,0011,28,3.6216,0.001467,85
simulation_4spheres_0011_v29,0011,29,4.8055,0.015826,85
simulation_4spheres_0011_v30,0011,30,5.3915,0.001020,85
simulation_4spheres_0011_v31,0011,31,3.3024,0.001306,85
simulation_4spheres_0011_v32,0011,32,6.7710,0.008945,85
simulation_4spheres_0011_v33,0011,33,5.0851,0.005046,85
simulation_4spheres_0011_v34,0011,34,6.7597,0.008298,85
simulation_4spheres_0011_v35,0011,35,5.1664,0.011437,85
simulation_4spheres_0011_v36,0011,36,5.7106,0.013430,85
simulation_4spheres_0011_v37,0011,37,7.4100,0.013451,85
simulation_4spheres_0011_v38,0011,38,5.7511,0.002745,85
simulation_4spheres_0011_v39,0011,39,6.5486,0.014488,85
simulation_4spheres_0011_v40,0011,40,3.7431,0.004651,85
simulation_4spheres_0011_v41,0011,41,7.9775,0.004973,85
